class3_code,substance_code
119,648902ACH
119,654403BIJ
119,654404BIJ
119,662301ATB
119,662302ATB
119,668101BIJ
119,683901BIJ
119,689301ACH
119,689801ATB
119,695601BIJ
119,722100ATB
119,724001ASY
119,734701BIJ
119,738600ATB
121,115331CLQ
121,115332CLQ
121,120130BIJ
121,120131BIJ
121,120132BIJ
121,183801CSI
121,183805CCM
121,183902CCM
121,183930BIJ
121,183933BIJ
121,183934CLQ
121,183935BIJ
121,183936BIJ
121,183938CLQ
121,183939BIJ
121,190430BIJ
121,190431BIJ
121,219630COS
121,219631COS
121,225031BIJ
121,225033BIJ
121,314000BIJ
121,314100BIJ
121,314300BIJ
121,314500BIJ
121,450200BIJ
121,513200BIJ
121,649800BIJ
122,111630BIJ
122,113501ATB
122,113501BIJ
122,113502ATB
122,113504ATB
122,131701ATB
122,131702ATB
122,138701ATB
122,138702ACR
122,140401ACH
122,152301ATB
122,152302ATR
122,192004ATB
122,192030BIJ
122,192031BIJ
122,205203ATR
122,217601ATB
122,217630BIJ
122,224730BIJ
122,224731BIJ
122,234030BIJ
122,240701ATB
122,247401BIJ
122,247402BIJ
123,102502ATB
123,116902ATB
123,116904ATB
123,167030BIJ
123,200530BIJ
123,203801ATB
123,203802ATB
123,207001ATB
123,221401ATB
123,221430BIJ
123,241201ATB
124,111830BIJ
124,111831BIJ
124,133501ATB
124,133530BIJ
124,133531BIJ
124,158001ACH
124,172301ATB
124,172330BIJ
124,187630BIJ
124,187631BIJ
124,209130BIJ
124,212101ATL
124,212103ATL
124,212130ALQ
124,240301ACH
124,240301ATB
124,240330BIJ
124,257900ATB
124,314900BIJ
129,660901ACS
131,102931COO
131,109130COO
131,109630COS
131,111833COS
131,116830COS
131,118432COS
131,118434COS
131,123030BIJ
131,124833COS
131,134132COS
131,138931COS
131,138933COS
131,141906CIM
131,141930COO
131,141931COS
131,142231COO
131,143532COS
131,143533COS
131,148830COS
131,152530COS
131,152532COS
131,161232COS
131,161237COS
131,161238COS
131,161242COS
131,161244COS
131,162030COS
131,164630COO
131,169130COS
131,180030COS
131,180032COS
131,180137COS
131,180138COS
131,180147COS
131,181502COS
131,181531COS
131,181532COS
131,183230COS
131,183231COS
131,183241COS
131,183243COS
131,183244COS
131,183245COS
131,198231COS
131,202330COS
131,203934COO
131,203935COO
131,203936COS
131,203937COS
131,209630COS
131,212331COS
131,213630COS
131,216134COS
131,217131COS
131,217132COS
131,217135COS
131,217138COS
131,222930COS
131,222931COS
131,228632COS
131,228633COS
131,228643COS
131,228645COS
131,228648COS
131,228650COS
131,228651COS
131,228652COS
131,228653COS
131,228740COS
131,228742COS
131,228834COS
131,228835COS
131,239632COS
131,239634COS
131,239636COS
131,242230COS
131,242630COS
131,243340BIJ
131,244030COS
131,245332COS
131,364501BIJ
131,380331COS
131,380333COS
131,380334COS
131,391600COS
131,391730COS
131,391731COS
131,391733COS
131,391736COS
131,391737COS
131,391738COS
131,391742COS
131,391743COS
131,391744COS
